column,q1,q3,lower_bound,upper_bound,outlier_count_iqr,outlier_pct
inadimplencias_anteriores,0.0,0.0,0.0,0.0,1112,22.24
possui_avalista,0.0,0.0,0.0,0.0,935,18.7
autonomo,0.0,0.0,0.0,0.0,798,15.959999999999999
dias_atraso_max_12m,0.0,15.0,-22.5,37.5,491,9.82
valor_solicitado,4466.4325,14095.9325,-9977.817500000001,28540.182500000003,335,6.7
renda_mensal,2136.475,5863.2525,-3453.6912499999994,11453.418749999999,294,6.114808652246256
reclamacoes_6m,0.0,1.0,-1.5,2.5,59,1.18
score_credito,596.0,711.0,423.5,883.5,38,0.76
utilizacao_credito,0.192,0.453,-0.1995,0.8445,35,0.7000000000000001
juros_mensal_pct,2.2,3.45,0.3250000000000002,5.325,23,0.45999999999999996
tempo_emprego_anos,1.842860343321743,7.116622894827293,-6.067783483936582,15.027266722085617,16,0.35762181493071077
qtde_cartoes,0.0,2.0,-3.0,5.0,4,0.08
qtde_contratos_abertos,0.0,2.0,-3.0,5.0,3,0.06
prazo_meses,12.0,36.0,-24.0,72.0,0,0.0
idade,31.0,57.0,-8.0,96.0,0,0.0
