threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,tn,fp,fn,tp,estimated_cost_brl
0.02,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.12186666666666666,0.12186666666666666,1.0,0.21725695269788448,0,3293,0,457,1646500.0
0.03,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.12186666666666666,0.12186666666666666,1.0,0.21725695269788448,0,3293,0,457,1646500.0
0.04,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.16986666666666667,0.12717574396406514,0.9912472647702407,0.22542921124657875,184,3109,4,453,1594500.0
0.05,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.328,0.14831230821684283,0.9518599562363238,0.25663716814159293,795,2498,22,435,1469000.0
0.06,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.46586666666666665,0.17328825021132713,0.8971553610503282,0.29047113000354235,1337,1956,47,410,1448000.0
0.07,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.5605333333333333,0.1969465648854962,0.8468271334792122,0.319570602807597,1715,1578,70,387,1489000.0
0.08,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.6282666666666666,0.21794099939795303,0.7921225382932167,0.34183191690273845,1994,1299,95,362,1599500.0
0.09,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.6738666666666666,0.2351313969571231,0.7439824945295405,0.35733053074093535,2187,1106,117,340,1723000.0
0.1,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.7122666666666667,0.25356576862123614,0.700218818380744,0.37230948225712623,2351,942,137,320,1841000.0
0.11,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.7392,0.27007943512797883,0.6695842450765864,0.3849056603773585,2466,827,151,306,1923500.0
0.12,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.76,0.28220255653883974,0.6280087527352297,0.3894165535956581,2563,730,170,287,2065000.0
0.13,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.7802666666666667,0.2998909487459106,0.6017505470459519,0.4002911208151383,2651,642,182,275,2141000.0
0.14,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.7986666666666666,0.3196125907990315,0.5776805251641138,0.41153546375681993,2731,562,193,264,2211000.0
0.15,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8109333333333333,0.3346456692913386,0.5579868708971554,0.41837571780147664,2786,507,202,255,2273500.0
0.16,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8197333333333333,0.34685314685314683,0.5426695842450766,0.4232081911262799,2826,467,209,248,2323500.0
0.17,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8288,0.3592085235920852,0.5164113785557987,0.4236983842010772,2872,421,221,236,2420500.0
0.18,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8341333333333333,0.3649754500818331,0.487964989059081,0.41760299625468167,2905,388,234,223,2534000.0
0.19,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8421333333333333,0.38095238095238093,0.4726477024070022,0.421875,2942,351,241,216,2585500.0
